,City,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,windspeed,winddir,sealevelpressure,cloudcover,visibility,moonphase,conditions,Year,Month,Date_split,sunrise h,sunrise m,sunrise s,sunset h,sunset m,sunset s
0,2.0,34.7,21.1,27.5,32.5,21.1,26.7,10.0,36.87,14.8,200.0,1007.2,27.5,5.5,0.88,2.0,2008,4,1,6,12,34,18,36,7
1,5.0,32.7,18.1,26.2,30.9,18.1,25.6,8.9,34.64,25.9,247.5,1007.6,17.5,4.0,0.88,5.0,2008,4,1,6,18,57,18,42,3
2,11.0,31.1,20.1,25.5,30.0,20.1,25.2,12.7,46.64,25.9,129.6,1007.7,65.0,2.9,0.88,11.0,2008,4,1,6,11,0,18,39,17
3,13.0,32.2,18.4,24.4,30.8,18.4,24.1,13.8,55.26,7.6,271.3,1009.4,11.3,7.0,0.88,13.0,2008,4,1,6,28,39,18,48,22
4,14.0,29.2,23.9,26.2,31.0,23.9,27.0,21.1,74.45,11.2,236.7,1010.6,25.0,4.0,0.88,14.0,2008,4,1,6,31,40,18,53,31
5,2.0,34.1,22.1,28.1,32.3,22.1,27.4,10.8,35.36,22.3,267.1,1007.5,7.5,4.0,0.92,2.0,2008,4,2,6,11,37,18,36,29
6,5.0,34.4,20.7,27.2,32.9,20.7,26.6,11.0,38.86,14.8,296.3,1007.7,12.5,4.0,0.92,5.0,2008,4,2,6,18,0,18,42,24
7,11.0,35.1,20.6,28.1,33.3,20.6,27.5,12.9,42.11,25.9,169.8,1007.9,52.4,2.9,0.92,11.0,2008,4,2,6,9,52,18,39,50
8,13.0,32.6,18.4,24.8,30.5,18.4,24.2,12.3,52.12,9.4,233.8,1009.9,2.5,7.0,0.92,13.0,2008,4,2,6,27,50,18,48,36
9,14.0,30.1,22.4,26.5,31.2,22.4,27.0,20.6,71.93,11.2,236.7,1011.3,8.8,4.0,0.92,14.0,2008,4,2,6,30,46,18,53,50
10,2.0,33.4,21.2,26.0,32.0,21.2,25.6,12.3,44.25,22.3,185.0,1008.5,55.0,4.0,0.96,2.0,2008,4,3,6,10,39,18,36,52
11,5.0,32.4,22.4,26.6,30.4,22.4,26.0,9.8,36.45,27.7,148.3,1008.4,21.7,4.0,0.96,5.0,2008,4,3,6,17,4,18,42,46
12,11.0,26.4,18.1,22.3,26.4,18.1,22.3,13.8,59.49,25.9,223.7,1009.6,88.6,2.4,0.96,11.0,2008,4,3,6,8,43,18,40,24
13,13.0,31.4,17.7,23.4,29.2,17.7,23.1,11.6,53.42,11.2,276.7,1010.8,0.0,7.4,0.96,13.0,2008,4,3,6,27,1,18,48,50
14,14.0,35.2,23.7,27.2,33.9,23.7,27.1,18.3,62.11,11.2,241.4,1011.6,7.5,4.0,0.96,14.0,2008,4,3,6,29,53,18,54,8
15,2.0,33.9,19.1,25.0,32.4,19.1,24.6,12.0,47.57,29.5,174.0,1007.7,40.0,4.0,0.99,2.0,2008,4,4,6,9,42,18,37,14
16,5.0,32.1,19.7,24.9,30.1,19.7,24.2,9.8,42.4,25.9,216.0,1007.7,18.3,4.0,0.99,5.0,2008,4,4,6,16,7,18,43,7
