,temp,dew,humidity,windspeed,sealevelpressure,moonphase,Year,Month,Date_split,winddir
0,32.4,13.2,34.28,14.8,,0.49,2007,04,01,
1,28.0,16.5,52.96,18.4,,0.49,2007,04,01,
2,31.8,11.9,31.32,18.4,1007.5,0.49,2007,04,01,
3,29.1,23.4,71.94,18.4,,0.49,2007,04,01,
4,32.5,13.3,34.69,11.2,,0.49,2007,04,01,
5,31.1,5.0,20.05,20.5,1008.2,0.49,2007,04,01,
6,30.6,5.9,22.66,22.3,,0.49,2007,04,01,
7,30.5,17.0,47.0,18.4,,0.49,2007,04,01,
8,30.3,23.5,69.77,7.6,1007.8,0.49,2007,04,01,
9,30.5,17.0,47.0,18.4,,0.49,2007,04,01,
10,28.7,21.8,67.15,18.4,,0.49,2007,04,01,
11,31.1,15.5,44.14,22.3,1008.6,0.49,2007,04,01,
12,31.2,16.8,45.8,11.2,1006.5,0.49,2007,04,01,
13,30.3,18.1,54.87,3.6,1009.2,0.49,2007,04,01,
14,31.0,20.8,59.38,5.4,1010.4,0.49,2007,04,01,
15,32.7,8.3,23.57,20.5,,0.5,2007,04,02,
16,28.4,14.7,46.98,20.5,,0.5,2007,04,02,
17,31.1,9.7,28.66,22.3,1007.8,0.5,2007,04,02,
18,29.5,23.2,70.5,18.4,,0.5,2007,04,02,
19,33.1,15.6,38.09,16.6,,0.5,2007,04,02,
20,31.7,4.7,19.51,22.3,1007.8,0.5,2007,04,02,
21,29.6,4.7,22.39,13.0,,0.5,2007,04,02,
22,31.0,14.5,38.22,22.3,,0.5,2007,04,02,
23,31.5,25.2,71.8,7.6,1005.5,0.5,2007,04,02,
24,31.0,14.5,38.22,22.3,,0.5,2007,04,02,
25,30.1,18.2,50.88,22.3,,0.5,2007,04,02,
26,27.6,12.3,44.91,31.3,1008.7,0.5,2007,04,02,
27,31.8,13.6,35.55,20.5,1004.0,0.5,2007,04,02,
28,30.1,13.3,45.15,5.4,1008.1,0.5,2007,04,02,
29,31.0,15.0,41.45,5.4,1009.0,0.5,2007,04,02,
30,30.1,8.0,29.94,16.6,,0.51,2007,04,03,
31,28.4,12.1,40.43,27.7,,0.51,2007,04,03,
32,27.9,8.8,32.02,18.4,1008.1,0.51,2007,04,03,
33,29.0,23.1,72.0,14.8,,0.51,2007,04,03,
34,33.4,13.7,33.4,11.2,,0.51,2007,04,03,
35,27.4,2.4,20.74,11.2,1008.4,0.51,2007,04,03,
36,28.0,3.3,23.16,16.6,,0.51,2007,04,03,
37,28.3,12.4,40.23,22.3,,0.51,2007,04,03,
38,30.9,24.4,71.66,9.4,1005.4,0.51,2007,04,03,
39,28.3,12.4,40.23,22.3,,0.51,2007,04,03,
40,31.1,17.1,44.29,18.4,,0.51,2007,04,03,
41,26.5,7.3,31.79,33.5,1008.1,0.51,2007,04,03,
42,30.1,10.4,32.15,20.5,1004.4,0.51,2007,04,03,
43,29.7,11.4,36.93,18.4,1007.3,0.51,2007,04,03,
44,31.4,10.1,30.12,9.4,1008.2,0.51,2007,04,03,
45,30.7,8.2,27.99,16.6,,0.52,2007,04,04,
46,28.1,11.6,38.62,18.4,,0.52,2007,04,04,
47,28.6,7.6,28.2,18.4,1008.6,0.52,2007,04,04,
48,28.7,22.7,71.68,14.8,,0.52,2007,04,04,
49,33.7,17.0,38.87,14.8,,0.52,2007,04,04,
50,28.0,-0.1,17.25,13.0,1007.9,0.52,2007,04,04,
51,28.6,3.1,22.23,14.8,,0.52,2007,04,04,
52,28.3,10.5,35.69,25.9,,0.52,2007,04,04,
53,31.2,24.1,68.46,7.6,1007.4,0.52,2007,04,04,
54,28.3,10.5,35.69,25.9,,0.52,2007,04,04,
55,32.4,16.5,39.75,22.3,,0.52,2007,04,04,
56,27.7,7.7,31.03,38.9,1007.9,0.52,2007,04,04,
57,28.6,9.3,31.46,11.2,1006.8,0.52,2007,04,04,
58,30.5,8.4,31.29,5.4,1006.9,0.52,2007,04,04,
59,31.2,14.1,43.42,7.6,1008.0,0.52,2007,04,04,
60,33.1,10.3,27.54,11.2,,0.53,2007,04,05,
61,27.8,12.7,44.62,24.1,,0.53,2007,04,05,
62,30.1,9.3,28.57,14.8,1008.8,0.53,2007,04,05,
63,29.2,22.1,67.01,18.4,,0.53,2007,04,05,
64,32.3,16.5,41.83,14.8,,0.53,2007,04,05,
65,30.5,0.5,17.13,11.2,1008.2,0.53,2007,04,05,
66,29.7,7.0,28.31,24.1,,0.53,2007,04,05,
67,27.9,12.0,38.63,22.3,,0.53,2007,04,05,
68,30.2,24.4,72.64,9.4,1008.5,0.53,2007,04,05,
69,27.9,12.0,38.63,22.3,,0.53,2007,04,05,
70,32.7,15.3,36.89,16.6,,0.53,2007,04,05,
71,29.5,10.9,34.87,25.9,1008.2,0.53,2007,04,05,
72,28.9,13.7,42.51,9.4,1007.3,0.53,2007,04,05,
73,29.0,10.7,37.77,7.6,1008.0,0.53,2007,04,05,
74,32.7,11.5,31.53,7.6,1007.6,0.53,2007,04,05,
75,33.9,14.3,34.43,13.0,,0.56,2007,04,06,
76,27.6,14.3,48.82,22.3,,0.56,2007,04,06,
77,31.7,12.8,34.13,18.4,1007.2,0.56,2007,04,06,
78,28.6,22.0,68.53,14.8,,0.56,2007,04,06,
79,33.3,15.2,37.86,11.2,,0.56,2007,04,06,
80,33.8,0.7,13.57,14.8,1006.5,0.56,2007,04,06,
81,27.4,10.2,36.64,13.0,,0.56,2007,04,06,
82,27.9,13.5,42.45,14.8,,0.56,2007,04,06,
83,30.4,24.3,71.37,9.4,1008.2,0.56,2007,04,06,
84,27.9,13.5,42.45,14.8,,0.56,2007,04,06,
85,29.4,19.9,57.18,24.1,,0.56,2007,04,06,
86,30.2,12.7,38.33,25.9,1008.1,0.56,2007,04,06,
87,28.4,16.4,52.19,11.2,1007.0,0.56,2007,04,06,
88,30.0,13.0,46.99,9.4,1008.0,0.56,2007,04,06,
89,32.1,17.6,47.41,7.6,1008.0,0.56,2007,04,06,
90,35.1,13.6,29.63,22.3,,0.6,2007,04,07,
91,27.1,15.7,55.23,22.3,,0.6,2007,04,07,
92,32.5,12.4,31.73,25.9,1005.1,0.6,2007,04,07,
93,28.9,22.6,70.14,18.4,,0.6,2007,04,07,
94,31.8,16.0,43.41,14.8,,0.6,2007,04,07,
95,31.9,2.8,17.58,25.9,1005.7,0.6,2007,04,07,
96,32.9,8.9,23.51,18.4,,0.6,2007,04,07,
97,29.1,14.6,42.56,27.7,,0.6,2007,04,07,
98,30.3,24.1,70.56,9.4,1007.3,0.6,2007,04,07,
99,29.1,14.6,42.56,27.7,,0.6,2007,04,07,
100,29.5,19.1,53.87,24.1,,0.6,2007,04,07,
101,30.0,14.7,40.9,32.8,1007.5,0.6,2007,04,07,
102,28.6,18.6,58.65,16.6,1006.1,0.6,2007,04,07,
103,30.0,18.2,54.69,18.4,1008.0,0.6,2007,04,07,
104,29.2,24.3,77.06,7.6,1008.3,0.6,2007,04,07,
